Device: cuda
GPU: NVIDIA GeForce RTX 5060 Laptop GPU

데이터 로드 중...
Train: 118,118 / Val: 25,311 / Test: 25,312

학습 데이터 레이블 분포:
  Label 0 (긴급 아님): 68,655건 (58.1%)
  Label 1 (낮은 긴급성): 28,140건 (23.8%)
  Label 2 (중간 긴급성): 8,613건 (7.3%)
  Label 3 (높은 긴급성): 7,712건 (6.5%)
  Label 4 (매우 높은 긴급성): 4,998건 (4.2%)

토크나이저 로드 중...
save_by_masked_val: masked val F1 기준으로 best model 저장
v9 Consistency Training: 118,118건 원본 데이터 (KL α=0.0)

모델 로드 중 (fine-tuning): model_v9n

Loading weights:   0%|          | 0/203 [00:00<?, ?it/s]
Loading weights: 100%|##########| 203/203 [00:00<00:00, 14312.14it/s]

총 18,460 스텝 (10 에폭 × 1,846 배치)
키워드 마스킹 확률: 30%
※ GPU 기준 에폭당 약 13~17분 예상

[MILESTONE] Epoch 1/10 0% (0/1846)

Epoch 1/10 [Train v9]:   0%|                                               | 0/1846 [00:00<?, ?it/s]
Epoch 1/10 [Train v9]:   0%|                 | 0/1846 [00:00<?, ?it/s, loss=0.0003, 배치ETA=19m 40s]
Epoch 1/10 [Train v9]:   0%|         | 1/1846 [00:00<19:38,  1.57it/s, loss=0.0003, 배치ETA=19m 40s]
Epoch 1/10 [Train v9]:   0%|         | 1/1846 [00:00<19:38,  1.57it/s, loss=0.0012, 배치ETA=12m 55s]
Epoch 1/10 [Train v9]:   0%|         | 2/1846 [00:00<11:42,  2.62it/s, loss=0.0012, 배치ETA=12m 55s]
Epoch 1/10 [Train v9]:   0%|         | 2/1846 [00:01<11:42,  2.62it/s, loss=0.0012, 배치ETA=10m 41s]
Epoch 1/10 [Train v9]:   0%|         | 3/1846 [00:01<09:12,  3.34it/s, loss=0.0012, 배치ETA=10m 41s]
Epoch 1/10 [Train v9]:   0%|          | 3/1846 [00:01<09:12,  3.34it/s, loss=0.0010, 배치ETA=9m 31s]
Epoch 1/10 [Train v9]:   0%|          | 4/1846 [00:01<07:58,  3.85it/s, loss=0.0010, 배치ETA=9m 31s]
Epoch 1/10 [Train v9]:   0%|          | 4/1846 [00:01<07:58,  3.85it/s, loss=0.0026, 배치ETA=8m 51s]
Epoch 1/10 [Train v9]:   0%|          | 5/1846 [00:01<07:19,  4.19it/s, loss=0.0026, 배치ETA=8m 51s]
Epoch 1/10 [Train v9]:   0%|          | 5/1846 [00:01<07:19,  4.19it/s, loss=0.0024, 배치ETA=8m 24s]
Epoch 1/10 [Train v9]:   0%|          | 6/1846 [00:01<06:55,  4.42it/s, loss=0.0024, 배치ETA=8m 24s]
Epoch 1/10 [Train v9]:   0%|          | 6/1846 [00:01<06:55,  4.42it/s, loss=0.0029, 배치ETA=8m 02s]
Epoch 1/10 [Train v9]:   0%|          | 7/1846 [00:01<06:35,  4.65it/s, loss=0.0029, 배치ETA=8m 02s]
Epoch 1/10 [Train v9]:   0%|          | 7/1846 [00:02<06:35,  4.65it/s, loss=0.0040, 배치ETA=7m 47s]
Epoch 1/10 [Train v9]:   0%|          | 8/1846 [00:02<06:24,  4.79it/s, loss=0.0040, 배치ETA=7m 47s]
Epoch 1/10 [Train v9]:   0%|          | 8/1846 [00:02<06:24,  4.79it/s, loss=0.0037, 배치ETA=7m 35s]
Epoch 1/10 [Train v9]:   0%|          | 9/1846 [00:02<06:16,  4.87it/s, loss=0.0037, 배치ETA=7m 35s]
Epoch 1/10 [Train v9]:   0%|          | 9/1846 [00:02<06:16,  4.87it/s, loss=0.0037, 배치ETA=7m 27s]
Epoch 1/10 [Train v9]:   1%|         | 10/1846 [00:02<06:16,  4.88it/s, loss=0.0037, 배치ETA=7m 27s]
Epoch 1/10 [Train v9]:   1%|         | 10/1846 [00:02<06:16,  4.88it/s, loss=0.0034, 배치ETA=7m 19s]
Epoch 1/10 [Train v9]:   1%|         | 11/1846 [00:02<06:14,  4.90it/s, loss=0.0034, 배치ETA=7m 19s]
Epoch 1/10 [Train v9]:   1%|         | 11/1846 [00:02<06:14,  4.90it/s, loss=0.0036, 배치ETA=7m 13s]
Epoch 1/10 [Train v9]:   1%|         | 12/1846 [00:02<06:13,  4.92it/s, loss=0.0036, 배치ETA=7m 13s]
Epoch 1/10 [Train v9]:   1%|         | 12/1846 [00:03<06:13,  4.92it/s, loss=0.0081, 배치ETA=7m 09s]
Epoch 1/10 [Train v9]:   1%|         | 13/1846 [00:03<06:13,  4.90it/s, loss=0.0081, 배치ETA=7m 09s]
Epoch 1/10 [Train v9]:   1%|         | 13/1846 [00:03<06:13,  4.90it/s, loss=0.0098, 배치ETA=7m 05s]
Epoch 1/10 [Train v9]:   1%|         | 14/1846 [00:03<06:15,  4.88it/s, loss=0.0098, 배치ETA=7m 05s]
Epoch 1/10 [Train v9]:   1%|         | 14/1846 [00:03<06:15,  4.88it/s, loss=0.0093, 배치ETA=7m 02s]
Epoch 1/10 [Train v9]:   1%|         | 15/1846 [00:03<06:16,  4.86it/s, loss=0.0093, 배치ETA=7m 02s]
Epoch 1/10 [Train v9]:   1%|         | 15/1846 [00:03<06:16,  4.86it/s, loss=0.0162, 배치ETA=6m 58s]
Epoch 1/10 [Train v9]:   1%|         | 16/1846 [00:03<06:12,  4.92it/s, loss=0.0162, 배치ETA=6m 58s]
Epoch 1/10 [Train v9]:   1%|         | 16/1846 [00:03<06:12,  4.92it/s, loss=0.0153, 배치ETA=6m 55s]
Epoch 1/10 [Train v9]:   1%|         | 17/1846 [00:03<06:11,  4.93it/s, loss=0.0153, 배치ETA=6m 55s]
Epoch 1/10 [Train v9]:   1%|         | 17/1846 [00:04<06:11,  4.93it/s, loss=0.0163, 배치ETA=6m 52s]
Epoch 1/10 [Train v9]:   1%|         | 18/1846 [00:04<06:11,  4.92it/s, loss=0.0163, 배치ETA=6m 52s]
Epoch 1/10 [Train v9]:   1%|         | 18/1846 [00:04<06:11,  4.92it/s, loss=0.0159, 배치ETA=6m 50s]
Epoch 1/10 [Train v9]:   1%|         | 19/1846 [00:04<06:12,  4.91it/s, loss=0.0159, 배치ETA=6m 50s]
Epoch 1/10 [Train v9]:   1%|         | 19/1846 [00:04<06:12,  4.91it/s, loss=0.0151, 배치ETA=6m 48s]
Epoch 1/10 [Train v9]:   1%|         | 20/1846 [00:04<06:10,  4.92it/s, loss=0.0151, 배치ETA=6m 48s]
Epoch 1/10 [Train v9]:   1%|         | 20/1846 [00:04<06:10,  4.92it/s, loss=0.0150, 배치ETA=6m 45s]
Epoch 1/10 [Train v9]:   1%|1        | 21/1846 [00:04<06:06,  4.98it/s, loss=0.0150, 배치ETA=6m 45s]
Epoch 1/10 [Train v9]:   1%|1        | 21/1846 [00:04<06:06,  4.98it/s, loss=0.0147, 배치ETA=6m 43s]
Epoch 1/10 [Train v9]:   1%|1        | 22/1846 [00:04<06:04,  5.01it/s, loss=0.0147, 배치ETA=6m 43s]
Epoch 1/10 [Train v9]:   1%|1        | 22/1846 [00:05<06:04,  5.01it/s, loss=0.0142, 배치ETA=6m 41s]
Epoch 1/10 [Train v9]:   1%|1        | 23/1846 [00:05<06:05,  4.99it/s, loss=0.0142, 배치ETA=6m 41s]
Epoch 1/10 [Train v9]:   1%|1        | 23/1846 [00:05<06:05,  4.99it/s, loss=0.0154, 배치ETA=6m 39s]
Epoch 1/10 [Train v9]:   1%|1        | 24/1846 [00:05<06:01,  5.04it/s, loss=0.0154, 배치ETA=6m 39s]
Epoch 1/10 [Train v9]:   1%|1        | 24/1846 [00:05<06:01,  5.04it/s, loss=0.0148, 배치ETA=6m 37s]
Epoch 1/10 [Train v9]:   1%|1        | 25/1846 [00:05<06:04,  5.00it/s, loss=0.0148, 배치ETA=6m 37s]
Epoch 1/10 [Train v9]:   1%|1        | 25/1846 [00:05<06:04,  5.00it/s, loss=0.0143, 배치ETA=6m 35s]
Epoch 1/10 [Train v9]:   1%|1        | 26/1846 [00:05<06:00,  5.05it/s, loss=0.0143, 배치ETA=6m 35s]
Epoch 1/10 [Train v9]:   1%|1        | 26/1846 [00:05<06:00,  5.05it/s, loss=0.0141, 배치ETA=6m 34s]
Epoch 1/10 [Train v9]:   1%|1        | 27/1846 [00:05<05:59,  5.05it/s, loss=0.0141, 배치ETA=6m 34s]
Epoch 1/10 [Train v9]:   1%|1        | 27/1846 [00:06<05:59,  5.05it/s, loss=0.0158, 배치ETA=6m 32s]
Epoch 1/10 [Train v9]:   2%|1        | 28/1846 [00:06<06:00,  5.04it/s, loss=0.0158, 배치ETA=6m 32s]
Epoch 1/10 [Train v9]:   2%|1        | 28/1846 [00:06<06:00,  5.04it/s, loss=0.0274, 배치ETA=6m 31s]
Epoch 1/10 [Train v9]:   2%|1        | 29/1846 [00:06<05:57,  5.08it/s, loss=0.0274, 배치ETA=6m 31s]
Epoch 1/10 [Train v9]:   2%|1        | 29/1846 [00:06<05:57,  5.08it/s, loss=0.0266, 배치ETA=6m 30s]
